,CUI1,CUI2
12510,Anterior ramus of left coccygeal nerve,Left coccygeal nerve
12511,Anterior ramus of left fifth lumbar nerve,Left fifth lumbar nerve
12512,Anterior ramus of left fifth sacral nerve,Left fifth sacral nerve
12513,Anterior ramus of left first cervical nerve,Left first cervical nerve
12514,Anterior ramus of left first lumbar nerve,Left first lumbar nerve
12515,Anterior ramus of left first sacral nerve,Left first sacral nerve
12516,Left first intercostal nerve,Left first thoracic spinal nerve
12517,Anterior ramus of left fourth lumbar nerve,Left fourth lumbar nerve
12518,Anterior ramus of left fourth sacral nerve,Left fourth sacral nerve
12519,Anterior ramus of left second cervical nerve,Left second cervical nerve
12520,Anterior ramus of left second lumbar nerve,Left second lumbar nerve
12521,Anterior ramus of left second sacral nerve,Left second sacral nerve
12522,Anterior ramus of left third cervical nerve,Left third cervical nerve
12523,Anterior ramus of left third lumbar nerve,Left third lumbar nerve
12524,Anterior ramus of left third sacral nerve,Left third sacral nerve
12525,Anterior ramus of lumbar nerve,Lumbar nerve
12526,Anterior ramus of right coccygeal nerve,Right coccygeal nerve
12527,Anterior ramus of right fifth lumbar nerve,Right fifth lumbar nerve
12528,Anterior ramus of right fifth sacral nerve,Right fifth sacral nerve
12529,Anterior ramus of right first cervical nerve,Right first cervical nerve
12530,Anterior ramus of right first lumbar nerve,Right first lumbar nerve
12531,Anterior ramus of right first sacral nerve,Right first sacral nerve
12532,Right first intercostal nerve,Right first thoracic nerve
12533,Anterior ramus of right fourth lumbar nerve,Right fourth lumbar nerve
12534,Anterior ramus of right fourth sacral nerve,Right fourth sacral nerve
12535,Anterior ramus of right second cervical nerve,Right second cervical nerve
12536,Anterior ramus of right second lumbar nerve,Right second lumbar nerve
12537,Anterior ramus of right second sacral nerve,Right second sacral nerve
12538,Anterior ramus of right third cervical nerve,Right third cervical nerve
12539,Anterior ramus of right third lumbar nerve,Right third lumbar nerve
12540,Anterior ramus of right third sacral nerve,Right third sacral nerve
12541,Anterior ramus of sacral nerve,Sacral nerve
12542,Anterior ramus of second cervical nerve,root (of UWDA hierarchy)
12543,Anterior ramus of second lumbar nerve,Second lumbar nerve
12544,Anterior ramus of second sacral nerve,Second sacral nerve
12545,Anterior ramus of seventh cervical nerve,root (of UWDA hierarchy)
12546,Structure of spinal nerve ventral branch,Trunk of spinal nerve
12547,Anterior ramus of third cervical nerve,root (of UWDA hierarchy)
12548,Anterior ramus of third lumbar nerve,Third lumbar nerve
12549,Anterior ramus of third sacral nerve,Third sacral nerve
12550,Anterior ramus of thoracic nerve,Structure of thoracic nerve
12551,Anterior segmental bronchus,root (of UWDA hierarchy)
12552,Anterior septal branch of anterior interventricular artery,Anterior descending branch of left coronary artery
12553,Anterior septal branch of anterior interventricular artery,Structure of distal portion of anterior descending branch of left coronary artery
12554,Anterior branch of anterior interventricular branch of left coronary artery,Anterior descending branch of left coronary artery
12555,Anterior ventricular branch of circumflex coronary artery,Structure of distal portion of circumflex branch of left coronary artery
12556,Anterior ventricular branch of circumflex coronary artery,Structure of circumflex branch of left coronary artery
12557,Anterior ventricular branch of right coronary artery,Structure of proximal portion of right coronary artery
12558,Anteromedial basal branch of left pulmonary artery,Basal portion of left pulmonary artery
12559,Apical segmental bronchus,root (of UWDA hierarchy)
12560,Aortic arch structure,root (of UWDA hierarchy)
12561,Articular branch of dorsal branch of left eighth posterior intercostal artery,Medial branch of dorsal branch of left eighth posterior intercostal artery
12562,Articular branch of dorsal branch of left eleventh posterior intercostal artery,Medial branch of dorsal branch of left eleventh posterior intercostal artery
12563,Articular branch of dorsal branch of left fifth posterior intercostal artery,Medial branch of dorsal branch of left fifth posterior intercostal artery
12564,Articular branch of dorsal branch of left first posterior intercostal artery,Medial branch of dorsal branch of left first posterior intercostal artery
12565,Articular branch of dorsal branch of left fourth posterior intercostal artery,Medial branch of dorsal branch of left fourth posterior intercostal artery
12566,Articular branch of dorsal branch of left ninth posterior intercostal artery,Medial branch of dorsal branch of left ninth posterior intercostal artery
12567,Articular branch of dorsal branch of left second posterior intercostal artery,Medial branch of dorsal branch of left second posterior intercostal artery
12568,Articular branch of dorsal branch of left seventh posterior intercostal artery,Medial branch of dorsal branch of left seventh posterior intercostal artery
12569,Articular branch of dorsal branch of left sixth posterior intercostal artery,Medial branch of dorsal branch of left sixth posterior intercostal artery
12570,Articular branch of dorsal branch of left subcostal artery,Medial branch of dorsal branch of left subcostal artery
12571,Articular branch of dorsal branch of left tenth posterior intercostal artery,Medial branch of dorsal branch of left tenth posterior intercostal artery
12572,Articular branch of dorsal branch of left third posterior intercostal artery,Medial branch of dorsal branch of left third posterior intercostal artery
12573,Articular branch of dorsal branch of posterior intercostal artery,Medial branch of dorsal branch of posterior intercostal artery
12574,Articular branch of dorsal branch of right eighth posterior intercostal artery,Medial branch of dorsal branch of right eighth posterior intercostal artery
12575,Articular branch of dorsal branch of right eleventh posterior intercostal artery,Medial branch of dorsal branch of right eleventh posterior intercostal artery
12576,Articular branch of dorsal branch of right fifth posterior intercostal artery,Medial branch of dorsal branch of right fifth posterior intercostal artery
12577,Articular branch of dorsal branch of right first posterior intercostal artery,Medial branch of dorsal branch of right first posterior intercostal artery
12578,Articular branch of dorsal branch of right fourth posterior intercostal artery,Medial branch of dorsal branch of right fourth posterior intercostal artery
12579,Articular branch of dorsal branch of right ninth posterior intercostal artery,Medial branch of dorsal branch of right ninth posterior intercostal artery
12580,Articular branch of dorsal branch of right second posterior intercostal artery,Medial branch of dorsal branch of right second posterior intercostal artery
12581,Articular branch of dorsal branch of right seventh posterior intercostal artery,Medial branch of dorsal branch of right seventh posterior intercostal artery
12582,Articular branch of dorsal branch of right sixth posterior intercostal artery,Medial branch of dorsal branch of right sixth posterior intercostal artery
12583,Articular branch of dorsal branch of right subcostal artery,Medial branch of dorsal branch of right subcostal artery
12584,Articular branch of dorsal branch of right tenth posterior intercostal artery,Medial branch of dorsal branch of right tenth posterior intercostal artery
12585,Articular branch of dorsal branch of right third posterior intercostal artery,Medial branch of dorsal branch of right third posterior intercostal artery
12586,Articular branch of dorsal branch of subcostal artery,Medial branch of dorsal branch of subcostal artery
12587,Articular branch of eighth intercostal nerve,Eighth intercostal nerve
12588,Articular branch of eleventh intercostal nerve,Eleventh intercostal nerve
12589,Articular branch of fifth intercostal nerve,Fifth intercostal nerve
12590,Articular branch of fourth intercostal nerve,Fourth intercostal nerve
12591,Articular branch of left eighth intercostal nerve,Left eighth intercostal nerve
12592,Articular branch of left eleventh intercostal nerve,Left eleventh intercostal nerve
12593,Articular branch of left fifth intercostal nerve,Left fifth intercostal nerve
12594,Articular branch of left fourth intercostal nerve,Left fourth intercostal nerve
12595,Articular branch of left ninth intercostal nerve,Left ninth intercostal nerve
12596,Articular branch of left second intercostal nerve,Left second intercostal nerve
12597,Articular branch of left seventh intercostal nerve,Left seventh intercostal nerve
12598,Articular branch of left sixth intercostal nerve,Left sixth intercostal nerve
12599,Articular branch of left tenth intercostal nerve,Left tenth intercostal nerve
12600,Articular branch of left third intercostal nerve,Left third intercostal nerve
12601,Articular branch of ninth intercostal nerve,Ninth intercostal nerve
12602,Articular branch of posterior ramus of eighth thoracic nerve,Posterior ramus of eighth thoracic nerve
12603,Articular branch of posterior ramus of eleventh thoracic nerve,Posterior ramus of eleventh thoracic nerve
12604,Articular branch of posterior ramus of fifth thoracic nerve,Posterior ramus of fifth thoracic nerve
12605,Articular branch of posterior ramus of fourth thoracic nerve,Posterior ramus of fourth thoracic nerve
