,CUI1,CUI2
9480,Fifth lumbar artery,Systemic arterial tree
9481,Nerve to right superior pharyngeal constrictor,Right pharyngeal nerve plexus
9482,Left superior macular artery,Left central retinal artery
9483,Structure of superior macular artery,Structure of central retinal artery
9484,Structure of caroticotympanic artery,Structure of petrous portion of internal carotid artery
9485,Right posterior lateral nasal artery,Right sphenopalatine artery
9486,Rhomboid major branch of right dorsal scapular artery,Right dorsal scapular artery
9487,Parotid branch of left superficial temporal artery,Left superficial temporal artery
9488,Structure of frontal branch of superficial temporal artery,Structure of superficial temporal artery
9489,Left occipital branch to scalp,Occipital branch of left posterior auricular artery
9490,Palatine branch of ascending palatine artery,Structure of ascending palatine artery
9491,Right sublingual artery,Right lingual artery
9492,Collateral branch of fifth posterior intercostal artery,Fifth posterior intercostal artery
9493,Mammary branch of left axillary artery,Structure of left subclavian artery
9494,Structure of left radial artery,Structure of left subclavian artery
9495,Left deep brachial artery,Structure of left subclavian artery
9496,Nerve to left adductor longus,Anterior branch of left obturator nerve
9497,Cutaneous branch of lateral branch of posterior ramus of lumbar nerve,Lateral branch of posterior ramus of lumbar nerve
9498,First common palmar digital branch of right median nerve,Lateral common palmar digital branch of right median nerve
9499,Superior subramus of posterior ramus of anterior segmental artery,Posterior ramus of trunk of anterior segmental artery
9500,Spongiose part of left urethral artery,Left urethral artery
9501,C5 branch to right semispinalis cervicis,Medial branch of posterior ramus of right fifth cervical nerve
9502,Seminal vesicle part of middle rectal artery,Structure of middle rectal artery
9503,Left carotid sinus nerve,Left glossopharyngeal nerve
9504,Cutaneous branch of medial branch of posterior ramus of fourth cervical nerve,Medial branch of posterior ramus of fourth cervical nerve
9505,Lateral proper palmar digital branch of ulnar nerve to left little finger,Common palmar digital branch of ulnar nerve to left little finger
9506,Lateral branch of palmar branch of median nerve,Median nerve palmar branch
9507,Right calcarine artery,Right medial occipital artery
9508,Lateral C2 branch to semispinalis capitis,Lateral branch of posterior ramus of second cervical nerve
9509,C2 branch to splenius capitis,Lateral branch of posterior ramus of second cervical nerve
9510,Peduncular branch of left posterior cerebral artery,Structure of left posterior cerebral artery
9511,Short circumferential branch of posterior cerebral artery,Structure of posterior cerebral artery
9512,Branch of left medial superior cerebellar artery to middle cerebellum,Medial branch of left superior cerebellar artery
9513,Branch of anterior inferior cerebellar artery to pons,Structure of anterior inferior cerebellar artery
9514,Nerve to right extensor digitorum,Right posterior interosseous nerve
9515,Nerve to right flexor digitorum profundus,Right anterior interosseous nerve
9516,Nerve to right flexor pollicis longus,Right anterior interosseous nerve
9517,Subscapularis branch of superior subscapular nerve (1),Upper subscapular nerve
9518,Medial branch of anterior cutaneous branch of left sixth intercostal nerve,Anterior cutaneous branch of left sixth intercostal nerve
9519,Right sural nerve,Right tibial nerve
9520,Adductor magnus branch of right tibial nerve,Right tibial nerve
9521,Nerve to right semimembranosus (n),Right tibial nerve
9522,Lateral branch of posterior ramus of right eleventh thoracic nerve,Posterior ramus of right eleventh thoracic nerve
9523,Articular branch of posterior ramus of eleventh thoracic nerve,Posterior ramus of eleventh thoracic nerve
9524,Branch of right medial pectoral nerve to clavicular part of right pectoralis major,Right medial pectoral nerve
9525,Communicating branch between left C4 and C5 anterior rami,Anterior ramus of left fourth cervical nerve
9526,Parieto-occipital branch of left pericallosal artery,Left pericallosal artery
9527,Articular branch of right tenth intercostal nerve,Right tenth intercostal nerve
9528,Scrotal branch of superficial external pudendal artery,Structure of superficial external pudendal artery
9529,Cutaneous part of right superficial circumflex iliac artery,Right superficial circumflex iliac artery
9530,Right polar frontal artery,Postcommunicating part of right anterior cerebral artery
9531,Glans part of right dorsal artery of penis,Right dorsal artery of penis
